FID,COMID,UID,BSN_COUNT,AreaSqKM,RPU,COMID_1,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,inStreamCat,PctCarbResidCat,PctNonCarbResidCat,PctAlkIntruVolCat,PctSilicicCat,PctExtruVolCat,PctColluvSedCat,PctGlacTilClayCat,PctGlacTilLoamCat,PctGlacTilCrsCat,PctGlacLakeCrsCat,PctGlacLakeFineCat,PctHydricCat,PctEolCrsCat,PctEolFineCat,PctSalLakeCat,PctAlluvCoastCat,PctCoastCrsCat,PctWaterCat,PctCarbResidWs,PctNonCarbResidWs,PctAlkIntruVolWs,PctSilicicWs,PctExtruVolWs,PctColluvSedWs,PctGlacTilClayWs,PctGlacTilLoamWs,PctGlacTilCrsWs,PctGlacLakeCrsWs,PctGlacLakeFineWs,PctHydricWs,PctEolCrsWs,PctEolFineWs,PctSalLakeWs,PctAlluvCoastWs,PctCoastCrsWs,PctWaterWs
123824,23756474,124833,98,0.0882,17c,23756474,0.0882,0.0882,100,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
123821,23756498,124830,783,0.7047,17c,23756498,0.7047,0.7047,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123773,23756506,124782,646,0.5814,17c,23756506,0.5814,0.5814,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123819,23756510,124828,27,0.0243,17c,23756510,0.0243,0.2592,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123664,23777271,124673,455,0.4095,17c,23777271,0.4095,0.4095,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123666,23777275,124675,53,0.0477,17c,23777275,0.0477,0.6813,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123665,23777279,124674,249,0.2241,17c,23777279,0.2241,0.6336,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123640,23777283,124649,390,0.351,17c,23777283,0.351,0.351,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123660,23777319,124669,314,0.2826,17c,23777319,0.2826,7.9812,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123656,23777327,124665,1114,1.0026,17c,23777327,1.0026,1.188,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123658,23777331,124667,206,0.1854,17c,23777331,0.1854,0.1854,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123734,23777337,124743,13862,12.4758,17c,23777337,12.4758,12.4758,100,100,0,0,0,0,0,65.43067378,0,0,0,34.56932622,0,0,0,0,0,0,0,0,0,0,0,0,0,65.43067378,0,0,0,34.56932622,0,0,0,0,0,0,0,0,0
123733,23777343,124742,1532,1.3788,17c,23777343,1.3788,1.3788,100,100,0,0,0,0,0,2.154046997,0,0,0,97.845953,0,0,0,0,0,0,0,0,0,0,0,0,0,2.154046997,0,0,0,97.845953,0,0,0,0,0,0,0,0,0
123758,23777355,124767,367,0.3303,17c,23777355,0.3303,0.3303,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123731,23777371,124740,284,0.2556,17c,23777371,0.2556,0.2556,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123730,23777377,124739,652,0.5868,17c,23777377,0.5868,0.5868,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123465,23777405,124474,76,0.0684,17c,23777405,0.0684,0.0684,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123470,23777427,124479,452,0.4068,17c,23777427,0.4068,0.4068,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123729,23777479,124738,423,0.3807,17c,23777479,0.3807,0.3807,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123728,23777485,124737,249,0.2241,17c,23777485,0.2241,0.2241,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123727,23777497,124736,82,0.0738,17c,23777497,0.0738,0.0738,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123466,23777539,124475,996,0.8964,17c,23777539,0.8964,0.8964,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123726,23777571,124735,1040,0.936,17c,23777571,0.936,0.936,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123725,23777579,124734,80,0.072,17c,23777579,0.072,0.072,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123735,23777587,124744,131,0.1179,17c,23777587,0.1179,0.1179,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123736,23777601,124745,98,0.0882,17c,23777601,0.0882,0.9765,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123737,23777605,124746,144,0.1296,17c,23777605,0.1296,0.1296,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123738,23777609,124747,843,0.7587,17c,23777609,0.7587,0.7587,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123740,23777629,124749,416,0.3744,17c,23777629,0.3744,0.3744,100,100,0,0,0,0,0,35.57692308,0,0,0,64.42307692,0,0,0,0,0,0,0,0,0,0,0,0,0,35.57692308,0,0,0,64.42307692,0,0,0,0,0,0,0,0,0
123741,23777633,124750,132,0.1188,17c,23777633,0.1188,0.1188,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123742,23777639,124751,113,0.1017,17c,23777639,0.1017,0.2205,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
123743,23777647,124752,367,0.3303,17c,23777647,0.3303,0.3303,100,100,0,0,0,0,0,44.14168937,0,0,0,55.85831063,0,0,0,0,0,0,0,0,0,0,0,0,0,44.14168937,0,0,0,55.85831063,0,0,0,0,0,0,0,0,0
123744,23777651,124753,205,0.1845,17c,23777651,0.1845,0.1845,100,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
